Number,utmeasting,utmnorthing,length,in,,Start to End,Illustrator Distance
145,450693.65,4058762.46,880.73,20,20,842.51,20
143,450756.05,4058817.18,789.52,17.92876364,17.92876364,764.98,18.16
144,450783.33,4058881.62,661.88,15.03025899,15.03025899,633.82,15.05
147,450678.45,4058654.99,656.48,14.90763344,14.90763344,631.5,14.99
61,450343.97,4058504.37,640.37,14.54180055,14.54180055,587.52,13.95
62,450328.75,4058387.03,563.37,12.79325105,12.79325105,529.5,12.57
53,450312.77,4058374.94,650.17,14.76434322,14.76434322,502.19,11.92
60,450317.07,4058481.47,612.66,13.91254982,13.91254982,465.92,11.06
155,450531.37,4058436.7,476.77,10.82670058,10.82670058,456.6,10.84
156,450571.13,4058420.12,438.26,9.952198744,9.952198744,428.7,10.18
146,450664.06,4058684.71,414.33,9.408785894,9.408785894,404.75,9.61
162,450510.9,4058140.1,405.68,9.21235793,9.21235793,400.82,9.51
154,450501.58,4058525.03,386.06,8.766818435,8.766818435,376.56,8.94
158,450606.65,4058351.06,454.78,10.32734209,10.32734209,368.39,8.75
59,450314.15,4058288.61,385.6,8.756372555,8.756372555,366.56,8.7
31,450255.07,4058309.14,593.17,13.46996242,13.46996242,356.88,8.47
34,450236.39,4058240.9,441.05,10.01555528,10.01555528,329.2,7.81
152,450571.65,4058523.83,342.24,7.771734811,7.771734811,328.99,7.81
151,450606.58,4058574.35,343.41,7.79830368,7.79830368,328.34,7.79
30,450186.93,4058329.43,365.14,8.291757973,8.291757973,326.05,7.74
32,450272.45,4058226.97,574.47,13.04531468,13.04531468,320.99,7.62
97,450315.74,4058058.72,363.41,8.252472381,8.252472381,319.09,7.57
157,450571.07,4058362.86,286.92,6.515504184,6.515504184,273.3,6.49
120,450444.6,4057987.15,274.42,6.231648746,6.231648746,268.73,6.38
123,450476.82,4058047.24,326.88,7.422933249,7.422933249,262.49,6.23
33,450275.09,4058237.33,379.01,8.606723968,8.606723968,257.65,6.12
96,450317.03,4058058.87,291.08,6.609971274,6.609971274,255.95,6.08
27,450057.32,4058187.71,256.69,5.829028193,5.829028193,246.03,5.84
119,450417.35,4057972.7,276.61,6.281380219,6.281380219,238.63,5.66
118,450417.35,4057960.23,318.62,7.235361575,7.235361575,236.84,5.62
90,450220.69,4058174.11,423.56,9.618384749,9.618384749,232.31,5.51
116,450391.47,4057982.29,237.02,5.382353275,5.382353275,231.98,5.51
137,450640.25,4058063.17,247.77,50  ,5.626468952,228.6,5.43
89,450278.72,4058120.84,280.64,6.372895212,6.372895212,227.53,5.4
57,450175.07,4057868.74,252.49,5.733652765,5.733652765,222.94,5.29
114,450357,4057968.55,239.93,5.448434821,5.448434821,222.65,5.29
140,450589.68,4058176.32,305.44,6.936064401,6.936064401,219.26,5.2
28,450130.57,4058293.04,339.56,7.710876205,7.710876205,218.13,5.18
86,450267.17,4057979.21,227.18,5.158902274,5.158902274,207.26,4.92
115,450353.61,4057953.05,222.23,5.046495521,5.046495521,206.48,4.9
95,450354.66,4058153.01,218.46,4.960884721,4.960884721,205.89,4.89
91,450337.03,4058102.21,333.86,7.581438125,7.581438125,203.7,4.84
138,450638.13,4058055.34,216.67,4.920236622,4.920236622,201.57,4.78
159,450567.81,4058303.08,204.43,4.642285377,4.642285377,200.15,4.75
150,450695.99,4058556.55,208.46,4.73380037,4.73380037,197.25,4.68
126,450581.96,4057852.29,204.13,4.635472846,4.635472846,195.33,4.64
37,450160.52,4058138.16,201.34,4.572116313,4.572116313,194.34,4.61
70,450136.38,4057897.68,412.18,9.359962758,9.359962758,193.43,4.59
22,450018.86,4057953.51,274.54,6.234373758,6.234373758,184.98,4.39
77,450246.82,4057960.97,186.4,4.232852293,4.232852293,181.87,4.32
104,450325.64,4057929.51,187.97,4.268504536,4.268504536,174.35,4.14
148,450651.34,4058607.48,183.8,4.173810362,4.173810362,170.71,4.05
106,450306.19,4057917.71,177.08,4.021209678,4.021209678,164.23,3.9
43,450086.49,4058242.97,163.22,3.706470769,3.706470769,158.95,3.77
102,450296.48,4057953.75,182.51,4.144516481,4.144516481,158.19,3.76
42,450101.88,4058095.19,240.96,5.471824509,5.471824509,152.85,3.63
130,450625.52,4057982.18,248.02,5.632146061,5.632146061,152.49,3.62
94,450372.56,4058124.76,158.63,3.602239052,3.602239052,148.37,3.52
131,450626.79,4057961.85,150.65,3.42102574,3.42102574,137.63,3.27
161,450516.22,4058145.63,220.95,5.017428724,5.017428724,136.9,3.25
26,450057.38,4058147.71,315.91,7.173821716,7.173821716,132.37,3.14
44,450039.46,4058451.76,131.54,2.987067546,2.987067546,128.03,3.04
132,450645.65,4057966.74,126.32,2.868529515,2.868529515,124.04,2.94
141,450985.16,4058984.26,131.5,2.986159209,2.986159209,121.65,2.89
109,450345.64,4057844.85,143.76,3.264564623,3.264564623,112.06,2.66
113,450413.24,4057826.64,116.08,2.63599514,2.63599514,110.6,2.63
41,450082.13,4058099.54,110.07,2.499517446,2.499517446,108.2,2.57
72,450111.04,4057912.46,140.21,3.183949678,3.183949678,105.93,2.51
135,450666.57,4058020.62,118.01,2.67982242,2.67982242,102.72,2.44
88,450244.64,4058116.86,121,2.747720641,2.747720641,98.78,2.34
79,450225.99,4058037.04,102.13,2.319212471,2.319212471,96.19,2.28
51,450279.99,4058423.01,142.46,3.235043657,3.235043657,93.11,2.21
